Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
3.13,4.9,25.7,,3.13,25.7,4.9,,3.13,25.7,4.9,
3.15,5.0,25.7,,3.15,25.7,4.9,,3.15,25.7,4.9,
3.17,5.0,25.7,,3.17,25.7,4.9,,3.17,25.7,4.9,
3.18,5.0,25.7,9.5,3.18,25.7,4.9,,3.18,25.7,4.9,
3.2,5.0,25.7,,3.2,25.7,4.9,8.5,3.2,25.7,4.9,8.5
3.22,5.0,25.7,,3.22,25.7,4.9,,3.22,25.7,4.9,
3.23,5.0,25.7,,3.23,25.7,4.9,,3.23,25.7,4.9,
3.25,5.0,25.7,,3.25,25.7,4.9,,3.25,25.7,4.9,
3.27,5.0,25.7,,3.27,25.7,4.9,,3.27,25.7,4.9,
3.28,5.0,25.7,,3.28,25.7,4.9,,3.28,25.7,4.9,
3.3,5.0,25.7,,3.3,25.7,4.9,,3.3,25.7,4.9,
3.32,5.0,25.7,10.0,3.32,25.7,4.9,,3.32,25.7,4.9,
3.33,5.0,25.7,,3.33,25.7,4.9,,3.33,25.7,4.9,
3.35,5.0,25.7,,3.35,25.7,4.9,,3.35,25.7,4.9,
3.37,5.0,25.7,,3.37,25.7,4.9,9.0,3.37,25.7,4.9,9.0
3.38,5.0,25.7,,3.38,25.7,4.9,,3.38,25.7,4.9,
3.4,5.0,25.7,,3.4,25.7,4.9,,3.4,25.7,4.9,
3.42,5.0,25.7,,3.42,25.7,4.9,,3.42,25.7,4.9,
3.43,5.0,25.8,,3.43,25.7,4.9,,3.43,25.7,5.0,
3.45,5.0,25.7,,3.45,25.7,5.0,,3.45,25.7,5.0,
3.47,5.0,25.7,,3.47,25.7,5.0,,3.47,25.7,5.0,
